Count,Noun,Verb,Letter,adjective,morphological,The,diacritic,Outcome,Word
4.0,1.0,0.0,0,0,2.0,0,2.0,0,إسلام
5.0,1.0,0.0,0,0,2.0,0,3.0,0,أسامه
5.0,1.0,0.0,0,0,2.0,0,1.0,0,أسماء
4.0,1.0,0.0,0,0,2.0,0,1.0,0,أسيل
4.0,1.0,0.0,0,0,2.0,0,1.0,0,أنور
5.0,1.0,0.0,0,0,2.0,0,1.0,0,أبرار
2.0,3.0,0.0,0,0,2.0,0,1.0,0,أبٌ
2.0,6.0,0.0,0,0,2.0,0,3.0,0,أم
2.0,3.0,0.0,0,0,2.0,0,3.0,0,أخٌ
4.0,6.0,0.0,0,0,2.0,0,3.0,0,أسره
4.0,6.0,0.0,0,0,2.0,0,3.0,0,أنثى
6.0,6.0,0.0,0,0,2.0,0,3.0,0,أكتوبر
4.0,6.0,0.0,0,0,2.0,0,3.0,0,أخرى
5.0,7.0,0.0,0,0,2.0,0,3.0,0,أولئك
5.0,6.0,0.0,0,0,2.0,0,3.0,0,أسبوع
5.0,6.0,0.0,0,0,2.0,0,2.0,0,إفاده
5.0,6.0,0.0,0,0,2.0,0,2.0,0,إهمال
5.0,6.0,0.0,0,0,2.0,0,2.0,0,إشراف
2.0,6.0,0.0,0,0,2.0,0,1.0,0,أخ
4.0,1.0,0.0,0,0,2.0,0,1.0,0,أريج
5.0,6.0,0.0,0,0,2.0,0,2.0,0,إداره
4.0,6.0,0.0,0,0,2.0,0,1.0,0,أداة
6.0,8.0,0.0,0,0,2.0,0,3.0,0,أوروبا
7.0,8.0,0.0,0,0,2.0,0,1.0,0,أفريقيا
5.0,1.0,0.0,0,0,2.0,0,1.0,0,أماني
7.0,1.0,0.0,0,0,2.0,0,2.0,0,إبراهيم
3.0,9.0,0.0,0,0,1.0,0,1.0,0,أين
5.0,6.0,0.0,0,0,6.0,0,1.0,0,أوراق
3.0,2.0,0.0,0,0,1.0,0,2.0,1,اسم
3.0,2.0,0.0,0,0,1.0,0,2.0,1,ابن
4.0,2.0,0.0,0,0,1.0,0,2.0,1,ابنة
4.0,2.0,0.0,0,0,1.0,0,3.0,1,امرؤ
5.0,2.0,0.0,0,0,1.0,0,2.0,1,امرأة
5.0,2.0,0.0,0,0,1.0,0,2.0,1,اثنان
6.0,2.0,0.0,0,0,1.0,0,2.0,1,اثنتان
3.0,2.0,0.0,0,0,1.0,0,1.0,1,ايم الله
4.0,2.0,0.0,0,0,1.0,0,1.0,0,ايمن الله
3.0,0.0,0.0,1,0,2.0,0,2.0,0,إنَّ
3.0,0.0,0.0,1,0,2.0,0,1.0,0,أنَّ
4.0,0.0,1.0,0,0,2.0,0,1.0,0,أصبح
4.0,0.0,1.0,0,0,2.0,0,1.0,0,أمسى
